b'\\u201cI\\u2019m not Muslim but fuck the police\\u201d \\U0001f92f cause they don\\u2019t eat pork... ! @PDE_YOUNGNUDY',b'1232094443131559936',b'CARDO \\u24cb',b'RicardoAlan_',b'trap',"b'tx, #txst22'",b'541',b'252',b'4',b'2010',b'4050',b'False',b'False',b'True',b'False',b'2014-02-21 15:31:24'
b'@LePatrioteRN75 @GneHeHeHe @Assiabibi1 please don\\u2019t Come in France! Catholic Church and Pr\\xe9sident #Macron are frien\\u2026 https://t.co/jB2zzCTZuw',b'1232088321590988800',b'JR Michael',b'JRMichael16',b'',b'',b'455',b'769',b'1',b'24108',b'14157',b'False',b'False',b'True',b'False',b'2019-09-10 15:54:03'
b'@KayMcHackedFace She gets access to top secret information she then shares with her foreign Muslim puppeteers.',b'1232088313215029253',b'Jeff Rose \\U0001f1fa\\U0001f1f8',b'JeffRoseTV',b'',"b""Proud dad/actor/filmmaker #ChristianChickenMan @KevinHart4real 's #NightSchool @HollandRoden 's dad @MTVTeenWolf Doug Resnick @DropDeadDiva Maj Ogden @ArmyWives""",b'4440',b'2140',b'32',b'9607',b'22165',b'False',b'False',b'False',b'False',b'2010-04-26 14:33:27'
b'@KhaledBeydoun @dansiddiqui Indian Fascism at Display. Please show the whole world Muslim Lives Matter!',b'1232088290301480960',b'The Skywalker CSO \\U0001f30d',b'PromoterBoxing',b'United States',"b""\\u201cDon't mistake my kindness for weakness. I am kind to everyone, but when someone is unkind to me, weak is not what you are going to remember about me.\\u201d \\U0001f1fa\\U0001f1f8""",b'334',b'1330',b'0',b'5158',b'23005',b'False',b'False',b'False',b'False',b'2009-10-18 21:17:11'
b'@CGrantWSJ Has China offered updated guidance on their ability to harvest organs from their Muslim concentration ca\\u2026 https://t.co/RiJ9GFTTqS',b'1232088265198624768',b'Henry Williams',b'HenryWilliams74',b'',b'',b'243',b'158',b'11',b'8199',b'28830',b'False',b'False',b'True',b'False',b'2011-09-28 12:58:26'
"b""Il m'est absolument impossible d'\\xe9prouver la moindre piti\\xe9 pour les victimes de la #Shoah quand je vois ce que les\\u2026 https://t.co/Q2YOXXEvTX""",b'1232088248958300162',b'Al Chalazouf !',b'Al_Chalazouf',"b'Paris, France'","b""Umar ibn al Khattab, quel calife incroyable, qu'Allah le r\\xe9compense ! Un vrai successeur du Proph\\xe8te sA'aws, qui ne cherchait ni la richesse, ni la gloire !""",b'57',b'140',b'0',b'5347',b'1833',b'False',b'False',b'True',b'False',b'2019-10-29 22:14:53'
b'@kdlmama @Kevin_Shipp CAIR is the Muslim Brotherhood',b'1232088242461331456',b'FreedomUSA',b'FreedomUSA2',b'Maryland',"b""#MAGA I want economic freedom & a Constitutional Republic to prevail. Pray for peace in Israel. Enforce the 10th Amendment. Read Vattel's Natural Born Citizen.""",b'140',b'247',b'3',b'4272',b'6546',b'False',b'False',b'True',b'False',b'2011-07-24 00:10:10'
"b'@nigella_i5e @falgal @patel4witham Labour are very fond of accusing others of #DogWhistle politics. However, every\\u2026 https://t.co/2RjHIfDuHt'",b'1232088241299476482',b'UK Urbanite',b'UKurbanite',"b'South East, England'","b'Speaking as a former Tory voter:\\nIf Boris delivers anything softer than an FTA Brexit, at zero cost, he and his entire Cabinet should be charged with treason.'",b'532',b'84',b'2',b'14493',b'28709',b'False',b'False',b'False',b'False',b'2017-09-28 13:11:30'
"b'Serial Fiqh Zakat (Bag. 1):: Pengertian, Keutamaan dan Hukum Zakat https://t.co/jC1u3nBT0p https://t.co/qHJDwi1emo'",b'1232088202862710791',b'Rizka Maulidya Putri',b'el_ghurabaa',b'Tangerang',b'Mulia dengan Manhaj Salaf || Akal yang Sehat Tidak Akan Bertentangan dengan Dalil || Elementary School Teacher Education of Tangerang University.',b'802',b'89',b'1',b'19066',b'225',b'False',b'False',b'False',b'False',b'2013-02-08 10:05:38'
b'@TVMohandasPai Mohan you are a two faced snake at best! Everything you accuse Rajdeep of can be said about you. You\\u2026 https://t.co/pfvHCekg68',b'1232088201851850755',b'Arjun Bhat',b'arjunbhat',"b'Bengaluru, India'",b'Curate travel experiences for a living.',b'122',b'74',b'0',b'430',b'462',b'False',b'False',b'False',b'False',b'2009-10-26 12:07:54'
"b'@FerdinandHaean2 Orang kapir kok ngomong ttg kesholehan orang muslim, udah kapir , cabul lagi semvak merah'",b'1232088199603748865',b'Hartono',b'Hartonospd',b'jakarta',b'jayalah pak jokowi presiden indonesia raya',b'122',b'104',b'0',b'2543',b'1638',b'False',b'False',b'False',b'False',b'2010-06-07 11:19:04'
b'@Ayahanda_MD @KhalidSamad @RameshRaoAKS @mijjemije @Alamurni @fikhwanBait @NajibRazak @umnoonline @PASPusat\\u2026 https://t.co/9RuNnbV6V3',b'1232088187347947521',"b'A KONTAR Yusup MBA , AR, UW-Madison, USA, BIG 10'",b'kontarOP',"b'57000 Kuala Lumpur, MALAYSIA'","b'Design Thinking; Productisation 4 Commercialisation; Facilitation 4 Bus/Marketing Plan; UWisconsin, UArkansas. Consulting AND Training forumaxservices@gmail.com'",b'2168',b'2703',b'16',b'32788',b'1128',b'False',b'False',b'True',b'False',b'2012-02-02 15:01:51'
b'@vikasbhaABP @RubikaLiyaquat This is ganga jamna tahjib. \\n\\nWhen hindus will understand Muslim never believe in demo\\u2026 https://t.co/HHzctAVCvy',b'1232088174085771265',b'Sunil Bhardwaj',b'sksbhardwaj',b'Mahadev ke charno main ',b'Mahadev bhakt & I love \\U0001f33f\\U0001f343nature.',b'228',b'182',b'5',b'21488',b'11910',b'False',b'False',b'True',b'False',b'2009-09-14 01:50:01'
b'\\U0001f97a\\U0001f97a\\U0001f97a\\U0001f97a\\U0001f97a at least he died as a muslim so all we can do is make dua for his forgiveness \\u0625\\u0646 \\u0634\\u0627\\u0621 \\u0627\\u0644\\u0644\\u0647 https://t.co/qpLzRpcHD2',b'1232088171237781504',b'Cincinnati',b'fxtemq',b'',"b'may \\u0627\\u0644\\u0644\\u0647 always keep you smiling, \\u0627\\u0645\\u064a\\u0646'",b'499',b'345',b'2',b'13438',b'27787',b'False',b'False',b'True',b'False',b'2018-02-19 19:55:23'
"b'Blaming liberandus everytime will not work,start boycotting Saudi and all other Muslim countries who honored Modi.'",b'1232088163377668096',b'FourthReich',b'imrans909',b'India',b'Hindutva Nazi Hunter',b'66',b'598',b'0',b'3506',b'2546',b'False',b'False',b'True',b'False',b'2014-01-14 09:43:59'
"b'From this news obi heard about megatron been a Muslim, he will tell ebi to run away from her\\n#UltimateLoveNG'",b'1232088162865946625',b'Stan',b'Stan07384245',b'',b'bold',b'44',b'102',b'0',b'1751',b'443',b'False',b'False',b'True',b'False',b'2019-12-22 22:08:39'
"b'@BBCNewsnight ^^^ re last post.\\n\\nCan you think of a worse crime, in living memory, from a British government? Argua\\u2026 https://t.co/bU1tJRxTX6'",b'1232088136127254528',b'Olly Connelly',b'olly_connelly',"b'London, England'","b'Producer, Daily Chaos, in an ordo ab chao kind of a world.\\n\\nLive Wednesdays 9pm GMT ~ https://t.co/98W3LgEoYl'",b'11130',b'241',b'191',b'18922',b'1036',b'False',b'False',b'False',b'False',b'2009-02-18 19:03:17'
"b""@badnewsjo5 I don't have a brother \\U0001f602\\U0001f602\\U0001f602 I think you Mexicans get babies like this. In India, we have strength and sp\\u2026 https://t.co/ceFZJRKa6j""",b'1232088103034056705',b'Shray Bhardwaj',b'Shraybee',b'',b'32 | Father & Hubby | Ethical Hacker | Pro Digital Marketer | Cyber Security Pro | Biz Dev | DJ | Helping all as much as possible\\n#AngryPreacher',b'58',b'474',b'1',b'370',b'1334',b'False',b'False',b'True',b'False',b'2019-10-24 02:28:25'
b'#DelhiIsBurning #MuslimLivesMatter @ArvindKejriwal \\nMuslims life in Danger in Delhi. \\nCM is sleeping in his Bungalo\\u2026 https://t.co/ocOkP5VoRg',b'1232088087406284801',b'Ateeb Khan',b'ateebmaazkhan22',"b'New Delhi, India'",b'National Secretary of Muslim Students Federation @msfindiaonline Lawyer in practicing. Former President of Zakir Hussain college. Master in Media governance',b'143',b'94',b'0',b'96',b'156',b'False',b'False',b'True',b'False',b'2016-06-17 20:17:51'
b'@NrcProtest Jo Bole So Nihal...\\nSat Sri Akaal...ji...\\nSikh brothers will certainly help our Muslim brothers &amp; sisters in trouble...',b'1232088078132510720',b'S Kumar',b'networkwell',b'',"b'(Overheard) Modi & Shah talking: ""They say it\'s not easy to fool everyone all the time, but it\'s so easy to fool our blind bhakts all the time!"" (Both laughing)'",b'85',b'268',b'0',b'6629',b'916',b'False',b'False',b'True',b'False',b'2011-09-04 07:33:58'
"b'As impressive as this looks, most Americans don\\u2019t know Modi.  He is a bad man. He is against religious freedom. He\\u2026 https://t.co/pwjie2WEDs'",b'1232088063280635904',b'Eustace Scrub',b'ScrubEustace',b'Pennsylvania',b'truth-telling dog-faced pony-soldier',b'1317',b'1513',b'0',b'1046',b'728',b'False',b'False',b'True',b'False',b'2019-10-01 04:50:13'
b'Who is Ebi calling a Muslim?',b'1232088052962594816',b'Tee',b'larajeantums',b'',b'A development practitioner looking up and trying out various methods to bring about solutions to the quagmire called poverty',b'172',b'127',b'0',b'4670',b'682',b'False',b'False',b'True',b'False',b'2013-02-21 00:24:30'
b'What????? Commies are protesting Trump but not anti-Muslim violence?? AJ+ reporting these protests but not Muslim n\\u2026 https://t.co/IczvHYfIuV',b'1232088013628375041',b'Usama',b'Usama786_',b'\\u067e\\u0627\\u06a9\\u0633\\u062a\\u0627\\u0646',b'',b'297',b'419',b'4',b'26003',b'19375',b'False',b'False',b'True',b'False',b'2016-04-04 19:34:00'
"b""@KathirNews Let's repeat.: It is for the persecuted minority  from neighboring Muslim countries .Hindus and others\\u2026 https://t.co/oi9ecFzOzs""",b'1232087987682299904',b'Selvi\\U0001f1ee\\U0001f1f3',b'Jnanibaktha',b'India',b'Nationalist . Proud follower of Sanadhana Dharma\\nDisciple of Pujiya Swamiji Dayanandha Saraswati.\\nSatyam Jnanam Anantham Brahma .',b'88',b'408',b'0',b'3527',b'5779',b'False',b'False',b'True',b'False',b'2019-02-02 15:09:52'
"b'@IlhanMN I am, \\n\\nHijabi \\nMuslim \\nBlack\\nForeign born\\nRefugee \\nSomali\\n\\nThis is what you said.  Then you suggested tha\\u2026 https://t.co/hDNFsSj3NY'",b'1232087959832154113',b'JP_Patriot_Mama',b'bug_juni',b'',"b'Matrix momma fighting to make a better world for my kids. #WWG1WGA \\U0001f1fa\\U0001f1f8\\U0001f1fa\\U0001f1f8 I follow back all who follow,  like, \\nand retweet!'",b'1172',b'1484',b'0',b'4612',b'7607',b'False',b'False',b'True',b'False',b'2019-08-01 23:08:17'
"b'\\u2066@Reuters\\u2069 \\u2066@ReutersIndia\\u2069 \\nIs this what you understand???\\nCAA has only shortened the Duration for minorities, Even\\u2026 https://t.co/trwiDBM7ff'",b'1232087954069147648',b'Y',b'anilyaduvanshi',b'',b'',b'55',b'261',b'0',b'8364',b'5963',b'False',b'False',b'True',b'False',b'2011-04-30 09:50:01'
"b""@WajahatAli Not Jewish so I don't know but I know if Sanders gets the nomination, Bernie is getting the majority of\\u2026 https://t.co/CEwdZsGNdO""",b'1232087940513325058',b'Shahryar',b'Shahryar',"b'Maryland, USA'",b'I\\u2019m in Tech and I also do stand-up',b'1258',b'1834',b'27',b'57627',b'86908',b'False',b'False',b'False',b'False',b'2008-06-09 12:44:32'
b'@ReallySwara @DelhiPolice Muslim rioters killed Head Constable.\\nThey dragged the DCP out of his vehicle and pelted\\u2026 https://t.co/WLiyehHuEE',b'1232087937933856768',b'Hibernating.',b'HibernationON',b'',b'',b'137',b'1751',b'1',b'10986',b'15570',b'False',b'False',b'True',b'False',b'2018-03-25 11:12:29'
b'@Vercovicium @CarpeDonktum Imagine if we were in a different reality &amp; Mayor Pete became President!! Its goin to be\\u2026 https://t.co/82AwJ4OeY3',b'1232087893297922049',b'Neil Tan',b'NeilTan79',b'USA',"b'Charlotte Flair fan, WWE 4 Horse Women fan and Los Angeles Lakers fan!'",b'164',b'226',b'0',b'19637',b'23953',b'False',b'False',b'False',b'False',b'2018-01-02 21:52:46'
"b'@jessphillips @BBCNewsnight @Jacqui_Smith1 ^^^ re last post.\\n\\nCan you think of a worse crime, in living memory, fro\\u2026 https://t.co/80bqxPvqqX'",b'1232087876285980672',b'Olly Connelly',b'olly_connelly',"b'London, England'","b'Producer, Daily Chaos, in an ordo ab chao kind of a world.\\n\\nLive Wednesdays 9pm GMT ~ https://t.co/98W3LgEoYl'",b'11130',b'241',b'191',b'18922',b'1036',b'False',b'False',b'False',b'False',b'2009-02-18 19:03:17'
b'@Vic18130885 I\\u2019m from Philly but have some Country traits.\\nMy dad got mad and left when I said..\\nFirst of all you M\\u2026 https://t.co/8DyA2ZfPAm',b'1232087852688838661',b'-{Moni Washu}-',b'nikochan1984',b'Philadelphia',"b'pets,video games, makeup and making people happy.proud to be bisexual \\U0001f49c\\U0001f497. Godmother of Kaijus. Husband @Godzilajackson'",b'316',b'203',b'3',b'9361',b'14049',b'False',b'False',b'True',b'False',b'2014-02-06 02:29:41'
"b'Oh just shut up!\\n\\n""Hindu Society is only a collection of castes... A caste has no feeling that it is affiliated to\\u2026 https://t.co/vHBK323LS0'",b'1232087821092978691',b'AB',b'ARPANsThoughts',b'',"b'About Life, Psychology Etc.'",b'458',b'976',b'2',b'44792',b'9213',b'False',b'False',b'True',b'False',b'2016-05-16 01:06:22'
b'@MsMacAttack321 @DRH1959 The list should read: Radical Muslim Islamic Terrorist Operative Traitor!',b'1232087820644364288',b'Realo Conau',b'RConau',b'',"b'Musician, / MAGA/KAG Do the right thing for the right reasons! The Truth will win!'",b'701',b'841',b'0',b'2259',b'101',b'False',b'False',b'True',b'False',b'2019-10-08 19:15:51'
"b'@tedcruz Read more carefully before you insult, Ted.\\nThe fact that @ilhanMN is an American, a Congresswoman, or a M\\u2026 https://t.co/21rOdsMNyJ'",b'1232087808958963713',b'R Z',b'R_Zerbe',"b'Brooklyn Heights, New York'",b'Attorney - Commercial Litigation; Citizen.',b'11',b'41',b'0',b'574',b'23',b'False',b'False',b'False',b'False',b'2011-08-21 13:46:45'
"b'@GuccianoRie @kasehsaulmouk Betul, ternyata non muslim. Ada bbrp terdeteksi akun2 seolah muslim tapi terselip kata\\u2026 https://t.co/jkH2IQNsdV'",b'1232087795616714752',b'PribumiLawanRasisme',b'Negaprions',b'',b'',b'1166',b'1674',b'2',b'36201',b'1142',b'False',b'False',b'True',b'False',b'2010-06-10 06:49:15'
b'No wonder DMK and its steadfast ally congress are playing Muslim card to fight against CAA. Muslims are the hen lay\\u2026 https://t.co/2WbGyy789n',b'1232087737890557954',b'Subramanian',b'manianks',"b'Chennai, Tamil Nadu'",b'',b'44',b'29',b'0',b'11568',b'9',b'False',b'True',b'True',b'False',b'2011-06-02 16:23:44'
b'@MarkDice @lovesherboy Sick Muslim transvestite Michael Obama',b'1232087734149373953',b'Mike MAGA KAG',b'Mike_Trump2020',"b'Dallas, TX'",b'I Follow back All #KAG #MAGA\\n#DRAINTHESWAMP\\U0001f1fa\\U0001f1f8\\U0001f1fa\\U0001f1f8 #TheBestIsYetToCome \\U0001f31f\\U0001f31f\\U0001f31f\\U0001f31f\\U0001f31f#PelosiForPrison\\nNo funding Sanctuary cities! \\n(\\U0001f6ab NO DM \\U0001f6ab) #abolishOmar',b'3960',b'4037',b'0',b'2472',b'19949',b'False',b'False',b'False',b'False',b'2017-11-05 02:57:50'
"b'Ya Allah, aku memohon kepada-Mu karunia-Mu. (HR. Muslim, Abu Daud, an-Nasa\\u2019I dan Ibnu Majah)'",b'1232087732576407553',b'Ida bagus alfian',b'alfiant88_ida',"b'pasarkemis tangerang,banten'",b'',b'201',b'1484',b'3',b'67795',b'2561',b'False',b'False',b'True',b'False',b'2015-10-23 15:06:03'
b'@muftimenk \\nhttps://t.co/d6eLJHJySv\\n\\nModi backed Hindutva Goons hav attacked Muslim areas in the heart of Delhi. Ou\\u2026 https://t.co/uNKxtSVq0w',b'1232087718097608704',b'Sham',b'Sham66395685',b'',b'Striving to make this world a better place to live.',b'0',b'29',b'0',b'7',b'0',b'False',b'True',b'True',b'False',b'2020-02-20 23:03:56'
"b'@PhonyTolerance I think I have! Lack of creativity which is leading to further of muslim degeneration, like its sai\\u2026 https://t.co/yWeIzLQDtk'",b'1232087707574317058',b'Rabia',b'rabia_ejaz',b'',"b'Engineer turned banker, anti-war, anti-violence, civil supremacy FTW'",b'203',b'286',b'0',b'2370',b'3663',b'False',b'False',b'True',b'False',b'2011-08-20 04:54:47'
"b'^^^ re last post.\\n\\nCan you think of a worse crime, in living memory, from a British government? Arguably Iraq, I th\\u2026 https://t.co/7yjYukSiyB'",b'1232087705594552321',b'Olly Connelly',b'olly_connelly',"b'London, England'","b'Producer, Daily Chaos, in an ordo ab chao kind of a world.\\n\\nLive Wednesdays 9pm GMT ~ https://t.co/98W3LgEoYl'",b'11130',b'241',b'191',b'18922',b'1036',b'False',b'False',b'False',b'False',b'2009-02-18 19:03:17'
b'This is not pro caa. This is anti Muslim. Anti national. Anti constitution. Anti humanity. Delhi burns because of t\\u2026 https://t.co/hfrX2KjIY6',b'1232087651156680704',b'Mithilesh kumar',b'Mith0606',"b'Darbhanga, Bihar'",b'Live N let Live',b'126',b'612',b'1',b'2770',b'7423',b'False',b'False',b'False',b'False',b'2014-04-14 03:30:49'
b'@AfroVII Who is the Muslim they see praying?',b'1232087627307851777',b'Bukola',b'JustBusyBeingB',b'',b'',b'747',b'337',b'6',b'20971',b'3936',b'False',b'False',b'True',b'False',b'2010-09-13 08:44:59'
b'Fact check: Bloomberg falsely claims NYPD only entered mosques when invited in - CNNPolitics https://t.co/Z5S1n7UlE1',b'1232087599659048960',b'Josh Dawsey',b'jdawsey1',b'DC',b'Washington Post White House Reporter. CNN analyst. Proud Carolinian & New Yorker. Loud phone talker. Hot sauce enthusiast. Josh.Dawsey@WashPost.com',b'252749',b'2942',b'3713',b'35570',b'34234',b'True',b'False',b'True',b'False',b'2009-05-09 21:54:29'
"b'@ekofirdaus76 lagian mba nya curhat ga salah kok, dia udah pakaian sopan kenapa ga dibolehin masuk?emang mesjid ray\\u2026 https://t.co/dRUktCHGeh'",b'1232087578074996736',b'Ditya Paramita',b'paramitaditya',"b'Pekanbaru, Riau INA '",b'Little-miss-moody',b'336',b'245',b'1',b'15325',b'1747',b'False',b'False',b'False',b'False',b'2011-05-24 10:19:17'
b'@QutubOwaisi 4 Hindus died to 1 Muslim! Now tell who organized the riots?',b'1232087567232913408',b'Anmol Sarkar \\U0001f1ee\\U0001f1f3',b'anmol_sarkar02',"b'Maharashtra, India'","b'Critical thinker,introvert,explorer & righteous'",b'31',b'559',b'0',b'6223',b'1335',b'False',b'False',b'True',b'False',b'2019-01-07 12:19:55'
b'@abhisar_sharma @KapilMishra_IND @DelhiPolice Shame on you just blaming him not to waris Pathan why because he is muslim and Kapil is hindu',b'1232087562950496256',b'nileshchalla',b'nileshchalla',b'India',b'',b'37',b'873',b'0',b'1865',b'5384',b'False',b'False',b'True',b'False',b'2012-11-01 20:39:32'
b'- being fat\\n- being ugly \\n- being muslim\\n- being arab in general \\n- my name\\n- i\\u2019m annoying\\n- i\\u2019m loud \\n- i was call\\u2026 https://t.co/Q1QYEJUhVG',b'1232087518214000641',b'that bitch',b'aminmegherhi',b'United States',b'i like to describe myself as \\u201cgay comma loud\\u201d',b'197',b'598',b'4',b'14403',b'11188',b'False',b'False',b'False',b'False',b'2015-11-11 11:44:14'
"b'@yettiaka Kalo perhatikan  wajah nya ,kayak bukan muslimah deh , lebih ke non muslim , =  ( Kafaro ) = cover'",b'1232087517555347457',b'Sahara Malika',b'SaharaMalika1',b'',b'Sahara Malika',b'14',b'130',b'0',b'34',b'15',b'False',b'False',b'True',b'False',b'2020-01-16 04:16:19'
b'I certainly haven\\u2019t....and I am white!  I am not surprised by her beliefs...I knew she was a Muslim before I even l\\u2026 https://t.co/6XeWhypZSl',b'1232087514510479366',b'Karen Watson # i am Tommy\\U0001f1ec\\U0001f1e7\\u274c',b'karenwatson53',"b'Pays de la Loire, France'","b'60 year old disabled, but mouthy! Trying to highlight the BARCELONA DECLARATION..the EU\\u2019s secret, hushed up, weapon to destroy Europe through Islamization!'",b'1046',b'315',b'12',b'35683',b'23088',b'False',b'False',b'True',b'False',b'2011-06-15 09:56:54'
b'Le Messager d\\u2019Allah \\ufdfa a dit: \\xab Un homme a dit une fois : Par Allah ! Allah ne pardonnera pas \\xe0 un tel ! Allah dit a\\u2026 https://t.co/rxTIHz6uY5',b'1232087511125676032',b'Emre \\U0001f406\\U0001f1f9\\U0001f1f7',b'Emo_s38',b'',b'Hanafi \\U0001f64c\\U0001f3fb',b'337',b'259',b'0',b'584',b'1397',b'False',b'False',b'True',b'False',b'2020-01-18 16:45:29'
"b""Do\\u2019a ini terdpt dlm hadits yg diriwayatkan Anas bin Malik radhiyallahu 'anhu, ketika hujan tak kunjung berhenti (dl\\u2026 https://t.co/MXTI7cJQjY""",b'1232087510605582336',b'Dewan Fatwa PA',b'DewanFatwaPA',b'',b'Dewan Fatwa merupakan lembaga independen yang berpegang teguh dengan manhaj Rasulullah \\ufdfa dan Salaful Ummah.',b'282',b'0',b'0',b'619',b'22',b'False',b'False',b'False',b'False',b'2018-12-17 08:22:20'
b'#muhammad \\n#MUHAMMED\\nS.A.V\\n#ISLAM\\n#MUSLIM https://t.co/AOi1BaGvoq',b'1232087503026425856',b'MUSTAFA AK.',b'MUSTAFA_A_K_',b'belgelerlegercektarih.com',"b'M\\xfcnazaray\\u0131 da biliriz,m\\xfcnaka\\u015fay\\u0131 da.\\nHak da veririz, had de bildiririz.\\n\\xdcslubumuzu, \\xfcslubunuz belirler;\\nFikirse fikir, kavgaysa kavga!'",b'5796',b'6306',b'12',b'53227',b'75035',b'False',b'False',b'False',b'False',b'2013-09-11 19:23:44'
"b""They're not carrying the tricolor\\nThey're carrying saffron flags\\n\\nThey're not shouting Jai Hind\\nThey're shouting Ja\\u2026 https://t.co/20w8hp31b2""",b'1232087492209369090',b'\\U0001d505\\U0001d51e\\U0001d530\\U0001d52e\\U0001d532\\U0001d526\\U0001d51e\\U0001d531 \\U0001f339',b'AashiqKabeerX',b'Musanghistan',"b""If I get in trouble for speaking the truth, what's being said the rest of the time? \\u2022 Data Analytics \\u2022 Business Intelligence \\u2022 Corporate Strategy""",b'1693',b'383',b'4',b'1316',b'2659',b'False',b'False',b'True',b'False',b'2019-10-08 16:36:40'
"b'@Scavino45 Anti-Muslim racist, the two of them.'",b'1232087478045171712',b'anthony',b'anthonysronsboo',"b'Illinois, USA'",b'can\\u2019t understand why anyone supports trump',b'23',b'35',b'0',b'735',b'1926',b'False',b'False',b'True',b'False',b'2018-06-21 17:49:57'
b'@acixxxxl @Syrian_Sultan_ @dimatra_ Couldn\\u2019t have said it better!! Don\\u2019t understand why people do that!! Like do th\\u2026 https://t.co/GMdWOnSPay',b'1232087465650987008',b'youronlylight',b'youronlyliight',b'',b'',b'13',b'24',b'0',b'345',b'5439',b'False',b'True',b'True',b'False',b'2017-11-01 08:01:13'
"b""@5Pillarsuk @falasteen47 Not only that, there's this whole anti-Muslim thing in the international Catholic media ab\\u2026 https://t.co/BTdScYIZ20""",b'1232087464422055936',b'\\u2720 \\U0001d50f\\U0001d52c\\U0001d524\\U0001d52c\\U0001d530 \\u211c\\U0001d526\\U0001d530\\U0001d526\\U0001d52b\\U0001d524 \\u2720',b'LogosRising3',"b'New Orleans, LA'","b'\\u201cIf anyone, whoever he may be, should attempt to alter the faith once for all delivered, let him be accursed.\\u201d\\n\\u2060\\u2014St. Vincent of L\\xe9rins, Commonitorium 8.'",b'149',b'881',b'0',b'3731',b'15308',b'False',b'False',b'False',b'False',b'2019-07-09 05:54:46'
b'@under_universe @alienufovideos And stupid evil muslim cube \\U0001f54b',b'1232087445534982146',b'Mr.\\U0001f6f8Jr.\\u2652\\ufe0f\\U0001f9f2))\\U0001f6f8((\\U0001f9f2\\U0001f9e0Psyche16\\u2604\\ufe0f\\U0001f6f8(Acoustic\\U0001f509Node)',b'DavidPsyche16',"b'Lancaster,CA \\U0001f6f8\\u26aa\\ufe0f\\U0001f6e9'",b'(MAN)GREEN-EYED\\U0001f31eLEFT-HANDED GRANDSON OF A WWII US ARMY INTELLIGENCE OFFICER.\\U0001f574\\U0001f5e1( RENEGADE) \\U0001f1f2\\U0001f1fd\\U0001f1fa\\U0001f1f8\\U0001f1f7\\U0001f1faMischief Maker 432Hz\\U0001f50a\\U0001f30e\\U0001f3b6(Jesus Christ Is Our Savior!)',b'51',b'91',b'1',b'8048',b'295',b'False',b'False',b'True',b'False',b'2020-01-30 19:54:58'
b'Advocacy Groups Renew Calls For Bloomberg To Renounce NYPD\\u2019s Muslim Surveillance\\nhttps://t.co/d5oawGu8mb',b'1232087436341207042',b'Joan McGinnis',b'JoanPennnative',"b'Florida, USA'","b'Florida Dem, DWCF,  Indivisible believe the Rule of Law is crucial to Democracy & is under threat. 83 year old white woman increasingly fed up with injustice'",b'5565',b'6125',b'208',b'375217',b'63759',b'False',b'False',b'True',b'False',b'2013-10-04 16:43:25'
"b'You can shroud yourself in any Muslim coat you want however your words, actions, associations all show your an anti\\u2026 https://t.co/RTwDtJRcM2'",b'1232087432767692803',b'Norm Allen',b'NormAllen3',b'Colorado',"b""DOL / RLTW, if you know what this is we're brothers. My politics, go the center & turn right. #NRA #2A #MAGA #KAG #Veteran #RED #ArmyRetired #WWG1WGA #IFB \\U0001f6abDM""",b'3385',b'3393',b'3',b'9680',b'11199',b'False',b'False',b'False',b'False',b'2012-04-12 00:38:16'
"b'@yettiaka Saya muslim, saya nggak pake hijab, karna menurut saya tidak diwajibkan, karena saya laki-laki \\U0001f612\\n\\nBego ny\\u2026 https://t.co/8oyDND0tN3'",b'1232087427600142336',b'Ninja Hatori',b'pahlawa42217887',b'',b'Pahlawan Yang Telat Datang',b'1',b'41',b'0',b'45',b'62',b'False',b'False',b'True',b'False',b'2019-11-28 12:00:51'
b'@NihalSayss Karma for what other Muslim terrorists have done. \\U0001f937\\U0001f3fb\\u200d\\u2642\\ufe0f\\U0001f937\\U0001f3fb\\u200d\\u2642\\ufe0f\\U0001f937\\U0001f3fb\\u200d\\u2642\\ufe0f',b'1232087421455458304',b'Sandy1514',b'Sandy15141',b'',b'',b'2',b'29',b'0',b'58',b'14',b'False',b'False',b'True',b'False',b'2019-10-08 05:19:43'
b'@impact_noddy @koolcan96 @_YogendraYadav @POTUS haaan Muslim mr rhe hain..ye police ak 47 le k ek ..majloom muslim\\u2026 https://t.co/2qmx9L7nCT',b'1232087395140427777',b'Democracy',b'BaajPm',b'',b'',b'33',b'67',b'0',b'4170',b'6680',b'False',b'False',b'True',b'False',b'2018-10-15 08:57:10'
"b'Pernahkah Muslim memperlakukan Umat lain seperti ini? Padahal mereka yg dihukum ini tidak jelas apa tuduhannya, apa\\u2026 https://t.co/Q2zYrtEjpJ'",b'1232087392338743298',b'Wironegoro',b'Wiro_Negoro',"b'Yogyakarta, Indonesia'",b'sedang sibuk berdebat dengan diri sendiri',b'166',b'8',b'0',b'1558',b'2002',b'False',b'False',b'True',b'False',b'2018-11-18 07:48:18'
