b'@IvankaTrump Namaste Madam!\\nYou too looking beautiful. \\n#IvankaTrump',b'1231944191351017472',b'\\U0001f1ee\\U0001f1f3RAMDAS\\U0001f1ee\\U0001f1f3',b'akpurohitngr',"b""No Men's Land""",b'Proud \\U0001f6a9Hindu \\U0001f1ee\\U0001f1f3Indian\\nEx- Armed soldier.\\nMy first & Last Love Is Ma BHARTI.\\nAlways Right\\U0001f6a9\\n#IndianArmy\\n#JaHind\\n\\U0001f1ee\\U0001f1f3VNDEMATRAM\\U0001f1ee\\U0001f1f3\\n\\U0001f6a9\\u0950\\u0950\\U0001f6a9',b'3936',b'3555',b'10',b'58611',b'59860',b'False',b'False',b'False',b'False',b'2010-07-25 00:09:22'
"b'@smitaprakash \\u0924\\u0947\\u0930\\u0947 \\u091a\\u0947\\u0939\\u0930\\u0947 \\u0938\\u0947 \\u0928\\u091c\\u0930 \\u0928\\u0939\\u0940\\u0902 \\u0939\\u091f\\u0924\\u0940 ""\\u091d\\u0941\\u092e\\u0915\\u0947"" \\u0939\\u092e \\u0915\\u094d\\u092f\\u093e \\u0926\\u0947\\u0916\\u0947! #IvankaTrump'",b'1231866704717918209',b'Ravindra Kumar',b'RK_Netsurf',b'',"b'Nature lover, #netsurf business promoter by profession Civil Engineer \\nWe help former for produce 100% pure #organic agriculture product with100% natural things'",b'51',b'63',b'0',b'462',b'4679',b'False',b'False',b'True',b'False',b'2015-04-07 16:41:20'
b'There is a whole lobby who is just following #IvankaTrump and #MelaniaTrump ..\\n\\U0001f923\\U0001f92a \\n#TrumpIndiaVisit #TrumpModiMeet\\u2026 https://t.co/x80YWeRvwu',b'1231866550422065154',b'RJ HARDIK',b'HardikRj',"b'Vododara, India'",b'*\\u092e\\u0928\\u092e\\u094c\\u091c\\u0940* \\n#RJ #Entertainer \\n#ManmaujiAfternoon\\n#2to5 #ahmedabad #radiojockey\\n\\n*Singer is still alive inside...\\n*writing is a passion...\\n*mad for food',b'358',b'477',b'2',b'1441',b'978',b'False',b'False',b'True',b'False',b'2015-09-22 16:16:53'
b'#IvankaTrump flaunts her midi-dress as she lands in Ahmedabad \\n\\nhttps://t.co/FP6oEZ2iOn',b'1231866262428340224',b'The Statesman',b'TheStatesmanLtd',"b'New Delhi, Delhi'","b""The Statesman is one of India's oldest English newspapers founded in Kolkata in 1875.""",b'10678',b'258',b'406',b'85701',b'320',b'True',b'False',b'False',b'False',b'2013-06-29 09:22:15'
"b'\\u092d\\u093e\\u0930\\u0924 \\u092e\\u0947\\u0902 \\u0930\\u0939 \\u0930\\u0939\\u0947 \\u0938\\u092d\\u0940 \\u0932\\u094b\\u0917\\u094b\\u0902 \\u0915\\u094b \\u0905\\u092a\\u0928\\u0947 \\u0907\\u0924\\u093f\\u0939\\u093e\\u0938 \\u092a\\u0930 \\u0917\\u0930\\u094d\\u0935, \\u092a\\u0940\\u090f\\u092e \\u092e\\u094b\\u0926\\u0940 \\u0915\\u093e \\u0936\\u0941\\u0915\\u094d\\u0930\\u093f\\u092f\\u093e: \\u0921\\u094b\\u0928\\u093e\\u0932\\u094d\\u0921 \\u091f\\u094d\\u0930\\u0902\\u092a\\n@narendramodi @PMOIndia\\u2026 https://t.co/pD1ebCOBVf'",b'1231866137593307136',b'Prime News',b'primenewslivetv',b'',"b'#Prime_News India`s Top and Reliable 24 Hour #Hindi_News_Channel. which covers latest news, entertainment, crime, india, world, viral news.'",b'183',b'15',b'0',b'1994',b'3',b'False',b'False',b'True',b'False',b'2019-11-25 11:26:07'
"b'Some how it seemed that Trump not only used this #NamsteTrump to push this re-election bid, but also pushed chances\\u2026 https://t.co/M9OLOuLOJ4'",b'1231866012401913857',b'Guru Ghantal \\U0001f1ee\\U0001f1f3',b'6Bblu',b'',"b'Hindu Hain Hum, Watan Hai Hindustan Hamara'",b'1134',b'204',b'12',b'13386',b'9444',b'False',b'False',b'True',b'False',b'2014-06-25 19:12:29'
b'\\u0906\\u0908\\u092a\\u094d\\u0930\\u092e\\u093e\\u0923\\u0947\\u091a \\u0907\\u0935\\u094d\\u0939\\u093e\\u0928\\u094d\\u0915\\u093e \\u092f\\u093e\\u0902\\u0928\\u0940 \\u0906\\u092a\\u0932\\u094d\\u092f\\u093e \\u0915\\u0930\\u093f\\u0905\\u0930\\u091a\\u0940 \\u0938\\u0941\\u0930\\u0941\\u0935\\u093e\\u0924 \\u092e\\u0949\\u0921\\u0947\\u0932\\u093f\\u0902\\u0917\\u0928\\u0947\\u091a \\u0915\\u0947\\u0932\\u0940.\\nhttps://t.co/HucQhUQPQF\\n#TrumpInIndia\\u2026 https://t.co/kXMyV08pLd',b'1231865413769646081',b'LoksattaLive',b'LoksattaLive',b'Mumbai',b'Leading International Marathi News Daily. Visit us on http://t.co/DSP9jdhyYR & http://t.co/Rw07yBf4eP',b'193680',b'844',b'437',b'195464',b'186',b'True',b'False',b'False',b'False',b'2012-02-14 07:09:44'
"b'US President Donald Trump concludes the speech by saying, ""God bless India, God bless the United States of America,\\u2026 https://t.co/Qukd659tRs'",b'1231865274359377923',b'India Ahead News',b'IndiaAheadNews',b'India',b'Digital and Mobile platform for discovering and sharing news on the go.',b'2971',b'126',b'5',b'19127',b'339',b'False',b'False',b'False',b'False',b'2018-03-29 08:24:44'
b'#DonaldTrump #MelaniaTrump #IvankaTrump https://t.co/pxJXVnTbuU',b'1231864807734857729',b'hardik bhavsar',b'bhavsarhardi',b'india',b'',b'5',b'305',b'0',b'47',b'207',b'False',b'False',b'True',b'False',b'2010-09-09 11:51:07'
b'Welcome to India\\n@realDonaldTrump #NamasteyTrump #TrumpIndiaVisit #Ahmedabad #TrumpModiMeet #DonaldTrumpIndiaVisit\\u2026 https://t.co/8bq8sJfmBN',b'1231864576720941056',b'wenxtindia',b'wenxtindia',b'',b'this is a page where you get entertaining memes and videos of best content..',b'5',b'101',b'0',b'91',b'446',b'False',b'False',b'True',b'False',b'2019-09-22 14:14:28'
b'Ivanka is love \\U0001f495 Please stay here and do at least one Bollywood movie before you go\\U0001f601#IvankaTrump @IvankaTrump #TrumpIndiaVisit #NamsteTrump',b'1231864419602386945',b'Sambit Priyadarsi',b'Sambit_Speakss',b'kYaKaRogeJaaNkar',b'PREVIOUS ACCOUNT(Sambit_Speaks)SUSPENDED \\U0001f62dplease follow this new account \\U0001f64f\\U0001f3fd \\U0001f38a\\U0001f388\\U0001f389\\U0001f388News-Politics-Humour-Satire -Music-Sports-expert in everything\\U0001f602\\U0001f60e\\U0001f918\\U0001f3fe',b'4',b'245',b'0',b'65',b'93',b'False',b'False',b'True',b'False',b'2020-02-20 15:36:54'
b'#MelaniaTrump #IvankaTrump #DonaldTrump https://t.co/UZcBRv2MW9',b'1231864344318742528',b'hardik bhavsar',b'bhavsarhardi',b'india',b'',b'5',b'305',b'0',b'47',b'207',b'False',b'False',b'True',b'False',b'2010-09-09 11:51:07'
b'#NamasteyTrump: US First #LadyMelania adds Indian twist to her look; #IvankaTrump mesmerises in a classy attire\\u2026 https://t.co/2Et1qrdUPp',b'1231864227855396864',b'DNA',b'dna',b'India',"b'Follow us for news, photos, videos and the latest trends from India and around the world. http://t.co/IZXefx3rSt'",b'2092241',b'371',b'3695',b'568299',b'90',b'True',b'False',b'False',b'False',b'2008-11-28 15:39:38'
"b'#TrumpInIndia : #MelaniaTrump , #IvankaTrump landed in #India with Us President #Trump \\n#TrumpIndiaVisit\\u2026 https://t.co/DRlLPpBKbZ'",b'1231864095973900288',b'Financial Express',b'FinancialXpress',"b'New Delhi, India'","b'The #FinancialExpress - A complete up-to-date source for business news, #finance news, #stockmarket news, #economy & #financial news online. \\n\\u0939\\u093f\\u0902\\u0926\\u0940 \\u092e\\u0947\\u0902 @fehindi'",b'594791',b'44',b'1908',b'343788',b'22',b'True',b'False',b'False',b'False',b'2009-06-24 11:29:19'
b'\\u0907\\u0935\\u093e\\u0902\\u0915\\u093e \\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\u0938\\u0941\\u0928 \\u0930\\u0939\\u0940 \\u0939\\u0948\\u0902 \\u092a\\u093f\\u0924\\u093e \\u091f\\u094d\\u0930\\u092e\\u094d\\u092a \\u0915\\u093e \\u0938\\u0902\\u092c\\u094b\\u0927\\u0928\\u0964 \\n#NamasteTrump\\n#TrumpInIndia \\n#TrumpIndiaVisit \\n#IvankaTrump https://t.co/sNR73bJizK',b'1231863176217559045',b'\\u0939\\u093f\\u0928\\u094d\\u0926\\u0940 \\u0959\\u092c\\u0930 Hindi Khabar',b'HindiKhabar',"b'New Delhi, India'","b'#HindiKhabar is most popular & credible satellite #news channel for Hindi viewers /Available on DTH #Tata Sky 583, Big Tv 423, Reliance #Jio \\u0939\\u093f\\u0928\\u094d\\u0926\\u0940 \\u0939\\u0948\\u0902 \\u0939\\u092e'",b'9211',b'375',b'83',b'62072',b'2459',b'False',b'False',b'False',b'False',b'2010-01-03 18:28:21'
b'Wooden bag \\n#ivankatrump #NamasteTrump https://t.co/KZbyHiZQnm',b'1231862704261844992',b'The New Era Shopper',b'thenewerashoppe',b'India',b'',b'242',b'1120',b'0',b'785',b'88',b'False',b'False',b'True',b'False',b'2014-05-20 05:40:20'
"b""I don't know but I'm liking this lady \\U0001f60d\\n#IvankaTrump""",b'1231862611144298496',b'My Champion\\U0001f64f\\u2764',b'Helly_squadd',b'',"b""It's totally ok to have haters along with loved ones, Not everybody is going to love you... \\nSo just keep calm \\u2764\\nBe positive in life nd spread positivity #Hs \\u2764""",b'29',b'9',b'0',b'1273',b'573',b'False',b'False',b'True',b'False',b'2019-11-18 05:55:08'
"b'\\u0aa8\\u0aae\\u0ab8\\u0acd\\u0aa4\\u0ac7 \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa: \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa\\u0ac7 \\u0aa8\\u0aae\\u0ab8\\u0acd\\u0aa4\\u0ac7\\u0aa5\\u0ac0 \\u0a95\\u0ab0\\u0ac0 \\u0aad\\u0abe\\u0ab7\\u0aa3\\u0aa8\\u0ac0 \\u0ab6\\u0ab0\\u0ac2\\u0a86\\u0aa4, PM \\u0aae\\u0acb\\u0aa6\\u0ac0\\u0aa8\\u0ac7 \\u0a97\\u0acd\\u0ab0\\u0ac7\\u0a9f \\u0a9a\\u0ac7\\u0aae\\u0acd\\u0aaa\\u0abf\\u0aaf\\u0aa8 \\u0a97\\u0aa3\\u0abe\\u0ab5\\u0acd\\u0aaf\\u0abe, \\u0a95\\u0ab9\\u0acd\\u0aaf\\u0ac1\\u0a82- \\u0a86\\u0aad\\u0abe\\u0ab0\\u2026 https://t.co/yFhmbZPbdd'",b'1231862485017214976',b'Newz Viewz',b'newzviewzoffice',b'INDIA',"b'Newz Viewz provides the latest Hindi, English & Gujarati news from India and World about all Politics, Cinema, Business, National & News at Singal Click.'",b'103',b'182',b'2',b'26578',b'224',b'False',b'False',b'False',b'False',b'2017-01-04 09:14:14'
b'Wooden bag \\n#ivankatrump #NamasteTrump https://t.co/icEI21110t',b'1231862370231709696',b'The New Era Shopper',b'thenewerashoppe',b'India',b'',b'242',b'1120',b'0',b'785',b'88',b'False',b'False',b'True',b'False',b'2014-05-20 05:40:20'
b'Wooden bag \\n#ivankatrump #namastetrump https://t.co/GoXBr9eZ9i',b'1231862226849423360',b'The New Era Shopper',b'thenewerashoppe',b'India',b'',b'242',b'1120',b'0',b'785',b'88',b'False',b'False',b'True',b'False',b'2014-05-20 05:40:20'
"b'\\u0aa8\\u0aae\\u0ab8\\u0acd\\u0aa4\\u0ac7 \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa: \\u0aae\\u0acb\\u0aa6\\u0ac0\\u0aa8\\u0abe \\u0ab8\\u0acd\\u0ab5\\u0abe\\u0a97\\u0aa4 \\u0aad\\u0abe\\u0ab7\\u0aa3\\u0aa5\\u0ac0 \\u0a95\\u0abe\\u0ab0\\u0acd\\u0aaf\\u0a95\\u0acd\\u0ab0\\u0aae\\u0aa8\\u0ac0 \\u0ab6\\u0ab0\\u0ac2\\u0a86\\u0aa4: INDIA-US FRIENDSHIP LONG LIVE\\u0aa8\\u0abe \\u0aa8\\u0abe\\u0ab0\\u0abe \\u0ab2\\u0a97\\u0abe\\u0ab5\\u0acd\\u0aaf\\u0abe, \\u0a9f\\u0acd\\u0ab0\\u0aae\\u0acd\\u0aaa\\u0ac7 \\u0aae\\u0abe\\u0aa8\\u0acd\\u0aaf\\u0acb\\u2026 https://t.co/A8dD9jFraB'",b'1231862202350497793',b'Newz Viewz',b'newzviewzoffice',b'INDIA',"b'Newz Viewz provides the latest Hindi, English & Gujarati news from India and World about all Politics, Cinema, Business, National & News at Singal Click.'",b'103',b'182',b'2',b'26578',b'224',b'False',b'False',b'False',b'False',b'2017-01-04 09:14:14'
b'USA President #DonaldTrump  shares the video which featured him as Baahubali \\n#MelaniaTrump   #IvankaTrump\\u2026 https://t.co/I5aLuyPErB',b'1231862098877005824',b'Xappie\\xae',b'XappieTollywood',b'',b'',b'10594',b'5',b'6',b'7760',b'51',b'False',b'False',b'True',b'False',b'2017-08-01 11:28:56'
b'#WeDemandIndianCitizenship for #IvankaTrump',b'1231860991287349248',b'Sunny \\u2600\\ufe0f',b'SunnyShines_',"b'New Delhi, India'","b'B-Tech. Movie buff, Sasta box office expert, part time photographer. SALMAN KHAN Fan, @msdhoni \\U0001f49e @aliaa08  @Warina_Hussain \\U0001f4af fan account.'",b'22019',b'1366',b'90',b'282685',b'94278',b'False',b'False',b'False',b'False',b'2012-09-18 14:27:30'
b'Modiji be like Aiase na  Dekh Ivanka pyar ho jayega \\n#TrumpInIndia #IvankaTrump https://t.co/XG2ew3JYxV',b'1231860965790113793',b'Himanshu',b'ImkHimansh',b'India',"b'Army Brat \\U0001f60e Country First \\U0001f1ee\\U0001f1f3 CA,Work in Progress \\U0001f913 News junkie \\U0001f9d0 Nature Lover \\U0001f304 Politically in Center\\U0001f928 Tea Positive \\u2615 Memes lover \\U0001f60c Dhoni is Permanent \\u2764'",b'433',b'166',b'2',b'32895',b'56668',b'False',b'False',b'False',b'False',b'2016-09-18 18:07:21'
b'@tiwari_ashish1 #IvankaTrump\\n#IndiaWelcomesTrump\\n#NamasteyTrump',b'1231860878749904897',b'Ajay pandey',b'ajaypandey03ho1',b'',b'Not much to write',b'267',b'534',b'0',b'6462',b'9518',b'False',b'False',b'True',b'False',b'2019-02-16 17:11:00'
b'#NamasteyTrump #DonaldTrumpIndiaVisit #DonaldTrump #TrumpIndiaVisit #TrumpModiMeet #Trump #TrumpIndiaVisit\\u2026 https://t.co/rytNEQpHsd',b'1231860591742136321',b'Web Prime Media',b'WebPrimeMedia',b'India',"b'Web prime media. +918864062425, Abhishek Kumar director .'",b'2',b'16',b'0',b'97',b'97',b'False',b'False',b'True',b'False',b'2019-12-03 13:33:19'
b'What a positive personality...very graceful #IvankaTrump\\nCompare her with Priyanka Gandhi https://t.co/3X8cEpixoQ',b'1231860314443935744',b'Girish S',b'girishs2',b'',"b""I'm a Tamil Maharastrian Aspiring stand up comedian When I see people shit or toilet openly on roads& railway tracks,I hate Kangis Retweets not my endorsement""",b'11843',b'9338',b'83',b'109988',b'25035',b'False',b'False',b'False',b'False',b'2011-08-19 17:56:03'
b'Thank you @realDonaldTrump for praising India .\\n\\n#NamasteTrump \\n\\nIndia welcomes #Trump and first lady with #IvankaTrump .',b'1231859839027965952',b'\\u092e\\u093f\\u0924\\u094d\\u0930 Dr \\u0930\\u093e\\u0915\\u0947\\u0936\\U0001f426',b'rakeshojjha',b'',b'India First\\U0001f64f\\n\\u0964Author l\\n\\U0001f449 Psephologist\\n\\U0001f449followed by @narendramodi @amitshah \\n\\n\\n\\U0001f449Sr. Correspondent \\U0001f449no news peddling                      \\n\\U0001f449\\U0001f447only views',b'8625',b'7391',b'8',b'47674',b'38692',b'False',b'False',b'True',b'False',b'2013-03-19 17:35:26'
"b'\\u0936\\u0930\\u094d\\u092e, \\u0926\\u0939\\u0936\\u0924, \\u091d\\u093f\\u091d\\u0915, \\u092a\\u0930\\u0947\\u0936\\u093e\\u0928\\u0940\\xa0\\n\\u0928\\u093e\\u091c\\u093c \\u0938\\u0947 \\u0915\\u093e\\u092e \\u0915\\u094d\\u092f\\u094b\\u0902 \\u0928\\u0939\\u0940\\u0902 \\u0932\\u0947\\u0924\\u0940\\u0902\\xa0\\n\\u0906\\u092a, \\u0935\\u094b, \\u091c\\u0940, \\u092e\\u0917\\u0930 \\u092f\\u0947 \\u0938\\u092c \\u0915\\u094d\\u092f\\u093e \\u0939\\u0948\\n\\u0924\\u0941\\u092e \\u092e\\u0947\\u0930\\u093e \\u0928\\u093e\\u092e \\u0915\\u094d\\u092f\\u094b\\u0902 \\u0928\\u0939\\u0940\\u0902 \\u0932\\u0947\\u2026 https://t.co/fIm2lmGzCI'",b'1231859820778512390',b'\\U0001d63c\\U0001d668\\U0001d65d\\U0001d65e\\U0001d668\\U0001d65d \\U0001d64f\\U0001d65e\\U0001d66c\\U0001d656\\U0001d667\\U0001d65e',b'tiwari_ashish1',"b'Kanpur, India'","b'\\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u0924\\u0928\\u2013\\u092e\\u0928, \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u091c\\u0940\\u0935\\u0928, \\u0930\\u0917\\u2013\\u0930\\u0917 \\u0939\\u093f\\u0928\\u094d\\u0926\\u0942 \\u092e\\u0947\\u0930\\u093e \\u092a\\u0930\\u093f\\u091a\\u092f\\u0964\\u0964 businessman\\u0964\\u0964MBA (amity university)\\u0964\\u0917\\u0930\\u094d\\u0935\\u093f\\u0924 \\u092d\\u093e\\u0930\\u0924\\u0940\\u092f\\u0964\\u0964RT not endorsement\\u0964\\u0964 Tweets in likes\\u2764\\ufe0f\\u2764\\ufe0f'",b'10634',b'1563',b'16',b'253938',b'20996',b'False',b'False',b'True',b'False',b'2010-04-15 14:47:20'
"b'Ivanka Trump is luv \\u2764\\ufe0f #IvankaTrump \\n\\n\\u0928\\u091c\\u093c\\u0930 \\u092e\\u0924 \\u0932\\u0917\\u093e\\u0928\\u093e \\u0938\\u093e\\u0932\\u094b, \\u092d\\u093e\\u092d\\u0940 \\u0939\\u0948 \\u0924\\u0941\\u092e\\u094d\\u0939\\u093e\\u0930\\u0940\\n\\n#NamasteyTrump #TrumpIndiaVisit\\u2026 https://t.co/gIFoCBat7f'",b'1231859807306559488',b'\\U0001d50d\\U0001d51e\\U0001d51e\\U0001d531 \\U0001d50e\\U0001d51e \\u212d\\U0001d525\\U0001d525\\U0001d52c\\U0001d52f\\U0001d51e\\u2122',b'WordOfTheGod',b'\\U0001f1ee\\U0001f1f3',b'\\U0001f1ee\\U0001f1f3 | #SRKian | Hindu | \\u091c\\u092f \\u092e\\u0939\\u093e\\u0915\\u093e\\u0932 | #KatrinaKaif | #Messi | Sasuke Uchiha | JisooIsLuv \\u2665\\ufe0f | \\u0442\\u043d\\u03b1\\u2113\\u03b1\\u03c1\\u03b1\\u0442\\u043d\\u0443\\u03bd\\u03b9\\u05e0\\u03b1\\u0443 | #\\U0001d400\\U0001d426\\U0001d422\\U0001d40a\\U0001d40a\\U0001d411 | DMs Always Open | \\u274c NO FANWARS \\u274c',b'789',b'497',b'2',b'16432',b'18309',b'False',b'False',b'False',b'False',b'2016-04-28 13:43:28'
"b""Welcome to world's biggest democracy PM Modi ji to US President @realDonaldTrump ,\\nPM Modi I am happy that\\u2026 https://t.co/ZYgfBcvEeo""",b'1231859585327280128',b'HRITHIK SAINI',b'HRITHIKSAINI1',b'Spephologist & Poll Strategist',"b""Editor-in-Chief : Shining India News Group, One of India's largest #Survey & #Research agency & Media Companies , Retweets are not endorsements, Jai Hind,""",b'2308',b'2806',b'41',b'18896',b'20319',b'False',b'False',b'True',b'False',b'2014-01-06 10:00:58'
b'@aajtak #IvankaTrump \\u0915\\u093e \\u092c\\u0924\\u093e\\u0913 \\U0001f60d\\U0001f62c',b'1231859496802291712',b'\\u0938\\u0942\\u0930\\u091c \\u0927\\u0938\\u094d\\u092e\\u093e\\u0928\\u093e \\U0001f60e',b'SurajDhasmana3',"b'New Delhi, India'",b'\\u0930\\u093e\\u0937\\u094d\\u091f\\u094d\\u0930\\u0935\\u093e\\u0926\\u0940 big fan of Modi Ji and Subramanyam Swami \\U0001f60a',b'1548',b'1930',b'5',b'39069',b'8441',b'False',b'False',b'True',b'False',b'2017-11-08 06:28:14'
b'#BREAKING : I am happy that Ivanka Trump is in India again after two years; welcome to our country: PM Modi at Nama\\u2026 https://t.co/RbnZZvTVLa',b'1231859368376717312',b'The Pioneer',b'TheDailyPioneer',b'',"b""Twitter account of India's leading independent right-thinking newspaper.""",b'19969',b'110',b'279',b'57570',b'81',b'True',b'False',b'False',b'False',b'2012-01-21 16:23:26'
"b'US First Lady #Melania, #IvankaTrump exude elegance with subtle yet stylish outfits [PIC]\\n\\n#MelaniaTrump\\u2026 https://t.co/MXbuOJ4A5S'",b'1231859085403754496',b'Catch News',b'CatchNews',"b'908, 9th Floor, Tower A1, Ansal Corporate Park, Sector 142, Noida'",b'A digital platform focussed on the ideas and events shaping our world.',b'56668',b'33',b'340',b'98533',b'366',b'True',b'False',b'True',b'False',b'2015-03-12 06:40:17'
"b'#IvankaTrump \\u09ad\\u09be\\u09b0\\u09a4-\\u09ae\\u09be\\u09b0\\u09cd\\u0995\\u09bf\\u09a8 \\u09ac\\u09a8\\u09cd\\u09a7\\u09c1\\u09a4\\u09cd\\u09ac \\u2018\\u09ae\\u09b9\\u09be\\u09a8\\u2019, \\u09a6\\u09c1 \\u09ac\\u099b\\u09b0 \\u09ac\\u09be\\u09a6\\u09c7 \\u09ad\\u09be\\u09b0\\u09a4 \\u09ab\\u09bf\\u09b0\\u09a4\\u09c7 \\u09aa\\u09c7\\u09b0\\u09c7 \\u09b8\\u09ae\\u09cd\\u09ae\\u09be\\u09a8\\u09bf\\u09a4, \\u099f\\u09cd\\u09af\\u09c1\\u0987\\u099f \\u0987\\u09ad\\u09be\\u0999\\u09cd\\u0995\\u09be\\u09b0\\u2026 https://t.co/CjnucDQHUw'",b'1231858850384363520',b'ABP Ananda',b'abpanandatv',b'Kolkata',"b'Breaking news from ABP Ananda (formerly STAR Ananda), the no.1 Bengali News channel'",b'215076',b'324',b'317',b'132127',b'1438',b'True',b'False',b'False',b'False',b'2012-05-30 15:22:40'
b'\\u0c1f\\u0c4d\\u0c30\\u0c02\\u0c2a\\u0c4d\\u200c \\u0c2a\\u0c30\\u0c4d\\u0c2f\\u0c1f\\u0c28 : \\u0c2e\\u0c3f\\u0c21\\u0c3f \\u0c21\\u0c4d\\u0c30\\u0c46\\u0c38\\u0c4d\\u200c\\u0c32\\u0c4b \\u0c07\\u0c35\\u0c3e\\u0c02\\u0c15\\u0c3e\\nhttps://t.co/DGiaI2ZKGF\\n#IvankaTrump \\n#TrumpInIndia #NamasteyTrump #IndiaWelcomesTrump',b'1231858772328337409',b'Sakshi News',b'sakshinews',b'',b'Breaking news from Andhra Pradesh and Telangana. News alerts in Telugu from across the world.',b'76136',b'257',b'293',b'129689',b'111',b'False',b'False',b'False',b'False',b'2013-06-14 15:02:19'
b'@realDonaldTrump #WelcomeTrump \\n#TrumpIndiaVisit \\n#TrumpVisitIndia \\n#TrumpModiMeet \\n#IndiaWelcomesTrump\\u2026 https://t.co/rAYYM08903',b'1231858650517508096',b'\\U0001f1ee\\U0001f1f3 Abhishek \\U0001f1ee\\U0001f1f3',b'abhishekbadala',"b'Rajasthan, India'","b'lecturer, Proud Indian, Nation First , \\u090a\\u0902\\u091a \\u0928\\u0940\\u091a \\u0915\\u0940 \\u0930\\u093e\\u091c\\u0928\\u0940\\u0924\\u093f \\u0938\\u0947 \\u0915\\u094b\\u0938\\u094b\\u0902 \\u0926\\u0942\\u0930 , \\U0001f4af % FB , \\u092b\\u0949\\u0932\\u094b \\u092c\\u0948\\u0915 \\u092e\\u093f\\u0932\\u0928\\u0947 \\u0915\\u0947 \\u092c\\u093e\\u0926 \\u0905\\u0928\\u092b\\u0949\\u0932\\u094b \\u0915\\u0930\\u0928\\u0947 \\u0935\\u093e\\u0932\\u0947 \\u0915\\u0943\\u092a\\u092f\\u093e \\u0926\\u0942\\u0930 \\u0939\\u0940 \\u0930\\u0939\\u0947\\u0902 \\u0964'",b'353',b'364',b'0',b'1244',b'680',b'False',b'False',b'False',b'False',b'2009-11-04 05:58:56'
b'PM Modi welcome @IvankaTrump &amp; @jaredkushner to India. #IvankaTrump #JaredKushner #TrumpIndiaVisit #TrumpInIndia https://t.co/uYI7u8CZY9',b'1231858561069617153',b'Bhavya',b'MeBhavya',b'Made In India',"b'ShareChat; Ex-TV Journalist (ETV, ABP News & India TV), Digital Enthusiastic. Member-IARJ (@rjournalists), Fellow @KAICIID : Views Personal'",b'2499',b'872',b'70',b'15293',b'15464',b'False',b'False',b'False',b'False',b'2008-12-03 13:28:09'
b'#TrumpIndiaVisit #TrumpModiMeet #TrumpVisitIndia #Trump #TrumpVisitWithTimes #NamasteyTrump #IndiaWelcomesTrump\\u2026 https://t.co/2gqb0Kuixo',b'1231858494095142913',b'Nikhil Kumar Gupta',b'nikhilk388',b'India',b'|Rapper | Youtuber | Blogger | Programmer | Hacker| (As Ethical)',b'47',b'232',b'0',b'201',b'418',b'False',b'False',b'True',b'False',b'2016-11-10 15:23:32'
b'\\u09ae\\u09cb\\u09a6\\u09c0\\u09b0 \\u09b8\\u0999\\u09cd\\u0997\\u09c7 \\u0995\\u09b0\\u09ae\\u09b0\\u09cd\\u09a6\\u09a8 \\u0995\\u09b0\\u09c7 \\u09a4\\u09be\\u0981\\u09b0 \\u09b8\\u0999\\u09cd\\u0997\\u09c7 \\u09b8\\u09cc\\u099c\\u09a8\\u09cd\\u09af\\u09ae\\u09c2\\u09b2\\u0995 \\u0995\\u09a5\\u09be\\u09ac\\u09be\\u09b0\\u09cd\\u09a4\\u09be \\u09ac\\u09b2\\u09a4\\u09c7 \\u09a6\\u09c7\\u0996\\u09be \\u09af\\u09be\\u09af\\u09bc \\u0987\\u09ad\\u09be\\u0999\\u09cd\\u0995\\u09be\\u0995\\u09c7\\n#IvankaTrump #DonaldTrump\\u2026 https://t.co/kAR1dsxxBo',b'1231858493872721920',b'Anandabazar Patrika',b'MyAnandaBazar',"b'Kolkata (Calcutta), India'","b""https://t.co/ofzgRmz4n3 - India's leading Bengali news website\\nFollow on Facebook- https://t.co/tiMkQwF6gL""",b'125890',b'450',b'232',b'89377',b'78',b'False',b'False',b'False',b'False',b'2011-04-08 12:10:42'
